,metadata,ArticleID,index,last name,first name,AuthorName,clean name,confirmed name,Sex
15891,"Pagano, Marco",18241,,Pagano, Marco, Marco Pagano,Marco Pagano,Marco Pagano,Male
15892,"Pagano, Marco",18241,,Pagano, Marco, Marco Pagano,Marco Pagano,Marco Pagano,Male
15893,"Reis, Ricardo",18241,,Reis, Ricardo, Ricardo Reis,Ricardo Reis,Ricardo Reis,Male
15894,"Reis, Ricardo",18241,,Reis, Ricardo, Ricardo Reis,Ricardo Reis,Ricardo Reis,Male
15895,"Reis, Ricardo",18347,,Reis, Ricardo, Ricardo Reis,Ricardo Reis,Ricardo Reis,Male
15896,"Reis, Ricardo",18347,,Reis, Ricardo, Ricardo Reis,Ricardo Reis,Ricardo Reis,Male
15897,"Reis, Ricardo",20900,,Reis, Ricardo, Ricardo Reis,Ricardo Reis,Ricardo Reis,Male
15898,"Reis, Ricardo",20900,,Reis, Ricardo, Ricardo Reis,Ricardo Reis,Ricardo Reis,Male
15899,"Santos, Tano",18241,,Santos, Tano, Tano Santos,Tano Santos,Tano Santos,Male
15900,"Santos, Tano",18977,,Santos, Tano, Tano Santos,Tano Santos,Tano Santos,Male
15901,"Santos, Tano",28896,,Santos, Tano, Tano Santos,Tano Santos,Tano Santos,Male
15902,"Thesmar, David",18241,,Thesmar, David, David Thesmar,David Thesmar,David Thesmar,Male
15903,"Thesmar, David",28872,,Thesmar, David, David Thesmar,David Thesmar,David Thesmar,Male
15904,"Van Nieuwerburgh, Stijn",18241,,Van Nieuwerburgh, Stijn, Stijn Van Nieuwerburgh,,,
15905,"Van Nieuwerburgh, Stijn",18296,,Van Nieuwerburgh, Stijn, Stijn Van Nieuwerburgh,,,
15906,"Van Nieuwerburgh, Stijn",18764,,Van Nieuwerburgh, Stijn, Stijn Van Nieuwerburgh,,,
15907,"Van Nieuwerburgh, Stijn",18972,,Van Nieuwerburgh, Stijn, Stijn Van Nieuwerburgh,,,
15908,"Van Nieuwerburgh, Stijn",23945,,Van Nieuwerburgh, Stijn, Stijn Van Nieuwerburgh,,,
15909,"Vayanos, Dimitri",18241,,Vayanos, Dimitri, Dimitri Vayanos,Dimitri Vayanos,Dimitri Vayanos,Male
15910,"Vayanos, Dimitri",23951,,Vayanos, Dimitri, Dimitri Vayanos,Dimitri Vayanos,Dimitri Vayanos,Male
15911,"Vayanos, Dimitri",24770,,Vayanos, Dimitri, Dimitri Vayanos,Dimitri Vayanos,Dimitri Vayanos,Male
15912,"Koch, Christoffer",18242,,Koch, Christoffer, Christoffer Koch,Christoffer Koch,Christoffer Koch,Male
15913,"Koch, Christoffer",18626,,Koch, Christoffer, Christoffer Koch,Christoffer Koch,Christoffer Koch,Male
