,0,AuthorID
824,"Sachs, JD",10443
825,"Shenfield, A.",10444
826,"Bratter, Herbert M.",10445
827,"Booth, AL",10446
828,"MINSKY, HP",10447
829,"Pollack, Harold A.",10448
830,"Berger, AN",10449
831,SCHILBRE.CM,10450
832,"Melosi, Leonardo",10451
833,"DINOPOULOS, E",10452
834,"Dobkin, Carlos",10453
835,"Baughman, R",10454
836,"WHINSTON, MD",10455
837,"WAGSTAFF, P",10456
838,"Serrano, R",10457
839,"Hamilton, Walton H.",10458
840,Tri Vi Dang,10459
841,"Veldkamp, Laura",10460
842,"PAXSON, C",10461
843,"MINABE, S",10462
844,"Niederle, Muriel",10463
845,"Asher, Sam",10464
846,"Suen, Wing",10465
847,"Bryan, Gharad",10466
848,"IRELAND, N",10467
849,"BERGSTROM, TC",10468
850,"Hughes, W. J.",10469
851,"KULIK, JC",10470
852,"EICHHORN, W",10471
853,"Berge, Stanley",10472
854,"FLEMMING, JS",10473
855,"Alvarez, F",10474
856,"DOLTON, P",10475
857,"ANDERSEN, TM",10476
858,"Hanson, Gordon H.",10477
859,"KLEIN, B",10478
860,"Tsui, Kevin K.",10479
861,"Geerdsen, Lars Pico",10480
862,"Jorgenson, DW",10481
863,"Kamstra, MJ",10482
864,"GABSZEWICZ, JJ",10483
865,"Sundararaman, Venkatesh",10484
866,"Thomas, J",10485
867,"Lynch, LM",10486
868,"Schorfheide, Frank",10487
869,"English, William",10488
870,"Spenkuch, Jorg L.",10489
871,"ALONSO, W",10490
872,"BECKERMAN, W",10491
873,"Saavedra, Juan E.",10492
874,"Hairault, Jean-Olivier",10493
875,"Faaland, J.",10494
876,"ARTH, MP",10495
877,"MORAG, A",10496
878,"Yoder, Dale",10497
879,"McArdle, John J.",10498
880,"Kanbur, Ravi",10499
881,"Schwarz, Michael",10500
882,"Attali, Yigal",10501
883,"LAHIRI, S",10502
884,"HERRIOTT, SR",10503
885,"Wong, Joyce Cheng",10504
886,"SANTOS, TD",10505
887,"Collery, Arnold P.",10506
888,"Sapienza, Paola",10507
889,"SEXTON, RL",10508
890,"SCADDING, JL",10509
891,"Steinberg, Joseph B.",10510
892,"MCCURDY, TH",10511
893,"SHINOHARA, M",10512
894,"Cooper, David J.",10513
895,"Koopmans, T. C.",10514
896,"Muralidharan, Karthik",10515
897,"Lecocq, Sebastien",10516
898,"Stevens, AH",10517
899,"Milanovic, B",10518
