13785,"Satorra, A",A Satorra,Albert Satorra,Male,,
1610,"Saunders, A",A Saunders,?,?,,
3322,"Scaperlanda, A",A Scaperlanda,?,?,,
9036,"Schabert, A",A Schabert,Andreas Schabert,Male,,
2630,"Schmitz, A",A Schmitz,Andrew Schmitz,Male,,
3768,"Schnytzer, A",A Schnytzer,?,?,,
1879,"Schotter, A",A Schotter,Andrew Schotter,Male,,
9951,"Schram, A",A Schram,Arthur Schram,Male,,
11366,"Schwartz, A",A Schwartz,Anna Schwartz,Male,,
286,"Scott, A",A Scott,Anthony D. Scott,Male,,
2450,"Sen, A",A Sen,Amartya Sen,Male,,
13874,"Seshadri, A",A Seshadri,Ananth Seshadri,Male,,
4189,"Shaked, A",A Shaked,Avner Shaked,Male,,
9560,"Shepard, A",A Shepard,Andrea Shepard,Female,,
3194,"Shleifer, A",A Shleifer,Andrei Shleifer,Male,,
3348,"Shonfield, A",A Shonfield,ndrew Shonfield,Male,,
1590,"Shorrocks, A",A Shorrocks,Anthony F. Shorrocks,Male,,
1600,"Sibert, A",A Sibert,Anne Sibert,Female,,
3749,"Silberston, A",A Silberston,Aubrey Silberston,Male,,
14338,"Silbertson, A",A Silbertson,Aubrey Silberston,Male,,
6012,"Sinai, A",A Sinai,Allen Sinai,Male,,
9071,"Singh, A",A Singh,?,?,,
9097,"Siow, A",A Siow,Aloysius Siow,Male,,
1493,"Smithies, A",A Smithies,Arthur Smithies,Male,,
2390,"Snell, A",A Snell,Andrew Snell,Male,,
1625,"Spilimbergo, A",A Spilimbergo,Antonio Spilimbergo,Male,,
14356,"Spiro, A",A Spiro,Alan Spiro,Male,,
11434,"Spivak, A",A Spivak,Avia Spivak,Female,,
4863,"Sprague, A",A Sprague,?,?,,
14513,"Steinherr, A",A Steinherr,Alfred Steinherr,Male,,
6767,"Sterling, A",A Sterling,?,?,,
8997,"Stone, A",A Stone,Arthur A. Stone,Male,,
14198,"Stutzer, A",A Stutzer,Alois Stutzer,Male,,
3221,"Subrahmanyam, A",A Subrahmanyam,Avanidhar Subrahmanyam,Male,,
